timestamp,grid_x,grid_y,cost_value,obstacle_density,object_count,cluster_count,safety_zone,region_type
2025-08-29T12:51:13.576809Z,3,2,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,2,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,2,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,2,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,2,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,2,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,2,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,0,3,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,1,3,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,2,3,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,3,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,3,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,3,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,3,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,0,4,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,1,4,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,2,4,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,3,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,4,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,4,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,4,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,0,5,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,1,5,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,2,5,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,3,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,5,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,5,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,5,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,5,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,0,6,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,1,6,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,2,6,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,3,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,6,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,6,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,6,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,6,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,0,7,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,1,7,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,2,7,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:13.576809Z,3,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,4,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,5,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,6,7,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:13.576809Z,7,7,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,8,7,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,9,7,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:13.576809Z,0,8,0,0.000,0,0,GÜVENLİ,SOL
